city,hotelName,overallRating,individualReview,individualRating,polarityScore,normalizedPolarityScore,meanPolarityScore
Bangkok,Evergreen Place Siam by UHG,8.4,This hotel situates in the center of Bangkok. We can find BTS station in 7-10 min by feet. There many good restaurants to discover Thai food. The breakfast prepared by hotel is recommended!.,10,0.7088,8.544,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,I itvs very accessible to the BTS station and we were upgraded to deluxe. We enjoyed the pool and the breakfast buffet. Good staycation experience..,10,0.7351,8.6755,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Guest rooms are accessible by the lift without any lock by keycard..,9,0,5,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,poor-mannered staff.,6,0,5,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Everything. Amazing.,10,0.5859,7.9295,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"We got upgraded to a super nice room! Everytime we stay in evergreen!
Its a great place and a good price!
The breakfast is amazing too.",10,0.9605,9.8025,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,The location was superb. Just next to the BTIS station and 10mn walking from Phya thai station which can take you to Savanaburm airport. Located just behind Siam square. Ideal. Lovely staff. Very helpful. Great swimming pool.. Not a major drawback but I would not have minded having TV5 monde but BBC was fine..,9,0.9019,9.5095,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Small room with a small balcony, 18th floor, not completely quiet but less noisy than street level.
Breakfast with options, didnt use the swimming pool but seemed nice and it's a big one, not a bathtub.
Friendly staff. Decent bathroom, AC is fine not super efficient but enough for human (i dont think polar bear would agree, but i don't know nor travel with any so ...). - Crappy wifi, impossible to get a signal inside the room, i had to receive my message in front of the elevator, come back to my room and go back to send them... They fixed it twice, it was so well fixed that my laptop didn't ever got connected ... I had all my call from the hotel lobby.
- As it is cheap and conveniently centrally located, a lot of bangkok teenagers use the room as mini party room... So expect some noise, music, karaoke ... on weekends, i know i did :/ ! But Thai people are generally nice and understandable, so a few knocks on the door and they'll feel so sorry, they will either offer you a drink or keep it quieter. Hopefully :) !.",7,0.7577,8.7885,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Easy to locate
Bts 50 yard walk
Good hotel allround.",10,0.7003,8.5015,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Close to center. No idea.,10,-0.296,3.52,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"food ok not exceptional
good location. small room.",5,-0.0531,4.7345,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Good breakfast, free and strong wifi everywhere, big pool where my kids had fun there, walking distance to MBK, BACC, and other Siam shopping malls, good quality mattress and pillows. Worth coming back again.. The sink in the bathroom is to shallow. Other than that everything was great..",9,0.967,9.835,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Good location.. I was stay for 7 nights, it’s was really nightmare experiences. Air conditioner was destroyed my stayed, so noisy. Not only my rooms the other rooms that my husband was checked also bad. Internet was unconnected everyday. Too many story beside actually, It’s not business hotel at all..",2,-0.722,1.39,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,The Staff are very friendly and competent. Breakfast was very good. Our first address in Bangkok..,9,0.85,9.25,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Clean and good BF..,8,0.6808,8.404,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Room clean, breakfast was good enough when comparing to the price. The pool and gym nice too. Good location, 10 walk to siam and 3 minutes to bts. I will definitely come back here again when I come back. WiFi was very strong..",10,0.9485,9.7425,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Nice breakfast.,9,0.4215,7.1075,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Great location, Great Facilities, Great Breakfast Buffet. Some rooms TV cannot connect to internet..",9,0.9231,9.6155,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,brakefast.,10,0,5,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Liked everything.,10,0.4215,7.1075,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,I have stayed in this hotel before and that is why i went back to the hotel when i returned to Bangkok with my girl friend and even she said that she would stay there again as well and it could be next month that i go back to the hotel with my friend...As i have said before the room and location are marvelous and breakfast very tasty..... That i did not stay long enough.....Maybe next time i stay longer....,9,0.8481,9.2405,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,The spacious and clean room. In the center of Bangkok with a short distance to shopping center.. None.,10,0.4019,7.0095,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Breakfast not so great..,5,-0.6296,1.852,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Everything to like😇👍. Nothing not to like😇👍.,10,0,5,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"the pool area is really stunning and good for relaxing. The water in the pool is too cold but good because it is not more chlorine and breakfast is excellent.. the room is not sound proof, even we talk or outside people talk, we can heard it. we actually spend b-day and we celebrate it inside the room but when we laugh somebody called that we are a bit loud..",5,0.9653,9.8265,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Prime location closes to BTS Ratchathevi and walk to downtown only 10 minutes. It's reasonably priced. Also, they are friendly staffs..",10,0.4939,7.4695,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"located super close to Siam Paragon,MBK,Central World....a good and inexpensive hotel, with very good breakfast and nice rooms. I'll probably book here again..",9.2,0.91,9.55,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,good BF.,8,0.4404,7.202,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"The location was very good also the room was very good and quiet, considering there is a very noisy road just a few meters from the hotel you could not hear the traffic even when you were by the pool.... The room its self was clean and the bathroom had a very good shower.. The breakfast was very, very good and of course you could eat as much as you wanted......The fitness center had some new equipment in it which quite a few people used with a trainer there if you needed help...... There was a leak in the bathroom nothing major but was not rectified while i was there also the air con would make a funny smell every now and then and since I stopped smoking my sense of smell is very good now otherwise i would not have noticed........",9,0.9243,9.6215,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Everything was very good. The stuff was kind and friendly. The hotel was very comfortable. I would like to go there again in the future. Nothing to say. I have nothing to complain for.,10,0.9535,9.7675,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,I received a free room upgrade upon arrival. Very kind staff. AMAZING fitness center. Tasty room service. I can highly recommend!.,10,0.9515,9.7575,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Staff friendly good location. None.,10,0.7269,8.6345,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,great breakfast.,8,0.6249,8.1245,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Great location, friendly English-speaking staff; excellent value for money.. Restaurant staff not as knowledgeable as front reception; pool / gym / etc closed completely due to COVID instead of limited access and hours..",7,0.91,9.55,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Good location, clean, nice staffs and good price.. Noise from open and close door next room in late of night. Fixed TV on the wall can watch only on the bed..",9,0.8834,9.417,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Location is great
Nice staff
Full of facilities. A little odorous
Some stain on curtain.",8,0.7845,8.9225,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Best location.,8,0.6369,8.1845,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Great breakfast buffet and very helpful and friendly people to start the day with a smile.,9,0.921,9.605,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Staff at the restaurant are very helpful and friendly.. The staff at reception are so so, not friendly as they are super busy with guests all the time.
2 Elevators for 23 floors building are not enough for service. Long wait. Staff at the restaurant are very friendly..",7,0.1662,5.831,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Everything is so good. Can't play in pool.,10,0.3488,6.744,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"location is ok if you want to go siam sqaure or mbk . walk about 10min strait .
the room is big but start to be looking old . was pleasant to stay there for a try ..",6,0.7351,8.6755,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Clean, big swiming pool,good location, and friendly staff.",9,0.7096,8.548,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Very near shopping I like to come back again.,9,0.4144,7.072,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"So far , all i like staffs so good , house keepers excellent.",9,0.8643,9.3215,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Staff were friendly and very helpful. The room was beautiful and the location was good..,9,0.92,9.6,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Location, friendly staff and clealiness. Nothing at all.",10,0.4939,7.4695,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,The hotel was so cheap due to the epidemic. When compare with amount that I pay the facility and service is so high. The staff is so good and the room is so amazing. I’m really sure that the price now you should book because cannot find any good hotel like this in cheapest price like this..,10,0.9615,9.8075,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"The room was a little bit old but very neat and clean. The bed was amazingly comfortable. The staff was helpful and friendly. There were not a lot of guests, so the floor was quiet during 3 days of my staying. Breakfast was good, everything you may need. I had great time at the pool.. The front stairs are not the most convenient if you have huge and heavy baggage, although the staff helped when they saw me..",9,0.9889,9.9445,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Clean room. Good Location really close to BTS. Nice staff. I can relax and sleep tight the whole night. 😊. Nothing.,10,0.8834,9.417,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"This is a great place to stay in Bangkok. 
It's very close to the BTS. Just one stop away from Siam.. Great if you are into shopping and sight seeing. It's is also one stop away from the Airport Rail Link which goes to Suvarnabhumi airport. 
Many taxis also on the main road or usually there is a taxi on sight. 
7/11 nearby and also restaurants and cafes. 
Staff are friendly and helpful and speak very good English. 
Gym and pool are kept clean and tidy. 
Rooms are spacious and comfortable. 
There are many options at breakfast to enjoy, catering to both Thai and Western cuisine.. Nothing not to like here! It's all Great!.",10,0.9829,9.9145,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Close to the bts and tourist spots
Close to 7/11 and cafes
Amazing breakfast 
Friendly staff
Great pool and gym along with changing facilities
Eco friendly incentives 
All round a wonderful place to stay. We loved everything.",10,0.9756,9.878,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Great breakfast selection.
Clean and tidy pool area. 
Great gym facilities, with clean and hygienic bathrooms.
Friendly and helpful staff. 
Great location to the BTS or if you don't mind the heat a short walk to several tourist spots. 
Option to change sheets and towels or to keep them the same (very eco friendly) 👍
Room sizes are very generous.. We enjoyed everything.",10,0.9804,9.902,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,good BF and coffee. No curtain in shower area to keep the bath room dry..,9,0.1779,5.8895,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Very spacious room. Walkable distance to the sky train. Every one should try the Japanese restaurant next to the lobby. Definitely coming back again..,9,0.4215,7.1075,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,very clean and near department stores. Room is a little small but we pay only 640 baht so it's Ok. Aircond is very noisy..,8,0.2788,6.394,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"Check in simple, Checkout very easy and fastly. Good and great brakfast.. The shower-installation in bad didn't function.",8,0.7713,8.8565,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Nothing.,10,0,5,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,"The staff are so nice, room is clean and comfy, location is great!. Nothing~ i've stayed here for 3 times and everything is so perfect.",10,0.9072,9.536,8.21478
Bangkok,Evergreen Place Siam by UHG,8.4,Good place to stay. small room.,6,0.4404,7.202,8.21478
